arc	source	where	terms	status	hits_per_head	top_paths	quote
B8070_anomaly_rank_descent	paper/structure-genesis-first	FINDINGS.md, Why it is false, point 1	calculated anywhere script rank	LEAD	"{""audit/b775-braver-questions"":1,""claude/new-session-qor5up"":2,""claude/outside-bench"":1,""codex/seat-r001"":1,""main"":1,""paper/structure-genesis-first"":4}"	docs/views/VERDICT_LEDGER.md | docs/ERROR_LEDGER.md | docs/views/REVIEWER.md | +1 catch-all	No Lie rank was calculated anywhere in the script.
B8070_anomaly_rank_descent	paper/structure-genesis-first	FINDINGS.md, Why it is false, point 3		UNSWEEPABLE			It was never su(3)⊕su(2)⊕u(1)³.
B8070_anomaly_rank_descent	paper/structure-genesis-first	FINDINGS.md, Why it is false, point 4 (quoting the seal's own words)	measuring detector	LEAD	"{""audit/b775-braver-questions"":4,""claude/new-session-qor5up"":4,""claude/outside-bench"":8,""codex/seat-r001"":5,""main"":7,""paper/structure-genesis-first"":9}"	docs/OPEN_LEADS.md | frontier/B775_phase2_wave1/wave6_results.json | docs/views/VERDICT_LEDGER.md | docs/ERROR_LEDGER.md | docs/CAMPAIGN_STATUS.md | frontier/B8069_conformal_selection/PREREG_conformal_selection.md | frontier/B8073_su5_reality/PREREGISTRATION.md | tests/test_b8071_reality_gate.py | +3 catch-all	the detector was measuring nothing
B8070_anomaly_rank_descent	paper/structure-genesis-first	FINDINGS.md, The deeper reason	centralizers operations holonomies operation	LEAD	"{""audit/b775-braver-questions"":5,""claude/new-session-qor5up"":5,""claude/outside-bench"":6,""codex/seat-r001"":5,""main"":6,""paper/structure-genesis-first"":5}"	docs/views/VERDICT_LEDGER.md | frontier/B971_L132_vacuity/PRIOR_ART_ANOMALY.md | frontier/B971_L132_vacuity/prior_art_anomaly.json | papers/P3_THE_PAPER/CLAIM_CANDIDATES.md | +2 catch-all	"The object has no operation that could perform it: ""The object's operations are centralizers, holonomies and gradings. ... Nothing in the kit deletes from it."""
B8070_anomaly_rank_descent	paper/structure-genesis-first	arc_verdict.json claim_one_line	b864 cancellation hypercharge uniqueness	LEAD	"{""audit/b775-braver-questions"":16,""claude/new-session-qor5up"":16,""claude/outside-bench"":19,""codex/seat-r001"":17,""main"":19,""paper/structure-genesis-first"":18}"	docs/LAW_MAP.md | docs/MASTERPLAN.md | docs/OPEN_LEADS.md | docs/THE_FRAMEWORK.md | docs/views/VERDICT_LEDGER.md | frontier/B738_pathfinder_compiler/kill_graph.json | frontier/B864_anomaly_ledger/FINDINGS.md | frontier/B971_L132_vacuity/PRIOR_ART_ANOMALY.md | +5 catch-all	B864's 'hypercharge is the unique gaugeable U(1)' is uniqueness INSIDE the chosen 3-plane span(Y, chi, psi) ... B864 is correct as scoped and must not be quoted as 'anomaly cancellation selects hypercharge.'
B8071_reality_gate	paper/structure-genesis-first	arc_verdict.json claim_one_line	centralizers available occupies verify	LEAD	"{""audit/b775-braver-questions"":4,""claude/new-session-qor5up"":4,""claude/outside-bench"":4,""codex/seat-r001"":4,""main"":6,""paper/structure-genesis-first"":6}"	docs/views/VERDICT_LEDGER.md | frontier/B738_pathfinder_compiler/kill_graph.json | docs/CAMPAIGN_STATUS.md | docs/THEOREM_REGISTRY.md | docs/LAW_MAP.md | docs/OPEN_LEADS.md | +2 catch-all	This cell computes which real forms are AVAILABLE to the centralizers, and does NOT verify that the object OCCUPIES any of them
B8071_reality_gate	paper/structure-genesis-first	arc_verdict.json claim_one_line	nilpotent placement reaches object	LEAD	"{""audit/b775-braver-questions"":9,""claude/new-session-qor5up"":10,""claude/outside-bench"":15,""codex/seat-r001"":14,""main"":13,""paper/structure-genesis-first"":15}"	docs/HINT_LEDGER.md | docs/views/VERDICT_LEDGER.md | frontier/B738_pathfinder_compiler/kill_graph.json | frontier/B770_closure_census/census.json | papers/VALIDATION_LEDGER.md | docs/CAMPAIGN_STATUS.md | docs/THEOREM_REGISTRY.md | docs/WHAT_WOULD_COUNT.md | +8 catch-all	It does not establish that the object reaches A2 -- the nilpotent panel places it on 2A1, and that placement is itself owed.
B8071_reality_gate	paper/structure-genesis-first	arc_verdict.json claim_one_line; FINDINGS.md 'Also not established'	characteristic-zero requires reading against	LEAD	"{""audit/b775-braver-questions"":1,""claude/new-session-qor5up"":0,""claude/outside-bench"":3,""codex/seat-r001"":4,""main"":2,""paper/structure-genesis-first"":7}"	frontier/B1033_generation_adjudication/FINDINGS.md | docs/views/VERDICT_LEDGER.md | docs/views/REVIEWER.md | docs/LAW_MAP.md | papers/series/paper2_rung_spectrum/main.tex | papers/structure_paper/arxiv/main.tex | +5 catch-all	The object's own B is known only mod p, so reading dim(B ∩ k) against su(5)/su(4,1)/su(3,2)/sl(5,R) = 24/16/12/10 requires a characteristic-zero rebuild and is NOT claimed.
B8071_reality_gate	paper/structure-genesis-first	FINDINGS.md, The scope limit (pre-addendum text, later discharged by the addendum)	specifically something points orbit	LEAD	"{""audit/b775-braver-questions"":8,""claude/new-session-qor5up"":8,""claude/outside-bench"":17,""codex/seat-r001"":14,""main"":17,""paper/structure-genesis-first"":8}"	docs/views/VERDICT_LEDGER.md | frontier/B738_pathfinder_compiler/kill_graph.json | frontier/B770_closure_census/census.json | frontier/B771_phase1_wave1/wave3_results.json | frontier/B955_l133_scout/PRIOR_ART_RANK_REDUCTION.md | docs/CAMPAIGN_STATUS.md | docs/THE_LADDER.md | docs/LISTENER_MAP_SPEC.md | +3 catch-all	Whether the A2 orbit has real points in e6(2) specifically is therefore the next computation, not something established here.
B8072_matching_capacity	paper/structure-genesis-first	B8074 FINDINGS.md:17 (adjacent arc, cited for cross-reference; see B8074 entry)	semisimple tested word	LEAD	"{""audit/b775-braver-questions"":23,""claude/new-session-qor5up"":24,""claude/outside-bench"":34,""codex/seat-r001"":30,""main"":30,""paper/structure-genesis-first"":28}"	docs/HINT_LEDGER.md | docs/LAW_MAP.md | docs/OPEN_LEADS.md | docs/THE_FRAMEWORK.md | docs/views/VERDICT_LEDGER.md | frontier/B149_sl4_ideal_completeness/FINDINGS.md | frontier/B530_natural_history/FINDINGS.md | frontier/B674_generation_leg/w3_enum_cc/enum_notes.md | +10 catch-all	"No arc in the bank had tested the word ""semisimple."""
