arc	source	where	terms	status	hits_per_head	top_paths	quote
B436_child_identity	main	FINDINGS.md lines 17-21	identified candidate rational honest	GENERIC	"{""audit/b775-braver-questions"":71,""claude/new-session-qor5up"":67,""claude/outside-bench"":101,""codex/seat-r001"":88,""main"":98,""paper/structure-genesis-first"":70}"	docs/CAMPAIGN_STATUS.md | docs/HINT_LEDGER.md | docs/LAW_MAP.md | docs/NOVELTY_AUDIT.md | docs/OPEN_LEADS.md | docs/RECOGNITION.md | docs/SEAL_LEDGER.md | docs/anatomy/VERDICT_LEDGER.md | +12 catch-all	CS not identified — honest ... No small rational (best cheap candidate 103/1337 fails at 3.5e-8); no closed form claimed.
B443_child_atlas	main	FINDINGS.md lines 33,37	figure-eight-unique cleared found floor	LEAD	"{""audit/b775-braver-questions"":8,""claude/new-session-qor5up"":8,""claude/outside-bench"":12,""codex/seat-r001"":9,""main"":12,""paper/structure-genesis-first"":8}"	docs/CAMPAIGN_STATUS.md | docs/views/VERDICT_LEDGER.md | frontier/B738_pathfinder_compiler/kill_graph.json | frontier/B742_negatives_hunt_p1/stageA/batch_dead_10.json | philosophy/THE_ORIGIN_POSTULATE.md | docs/views/THE_SPINE.md | frontier/B1211_declaration_gap/deep_sweep.json | frontier/B1211_declaration_gap/verification/deep_sweep.json | +3 catch-all	no bar cleared. ... figure-eight-UNIQUE — NONE FOUND, at any floor.
B444_sl3_field_control	main	FINDINGS.md lines 83-86	license-only proprietary installed required	NO_HIT	"{""audit/b775-braver-questions"":0,""claude/new-session-qor5up"":0,""claude/outside-bench"":0,""codex/seat-r001"":0,""main"":0,""paper/structure-genesis-first"":0}"		On magma: not required and not installed. Magma ... proprietary, license-only — no Homebrew/pip/apt formula exists.
B446_thermo_d1_tower_moments	main	FINDINGS.md NEW-MATH paragraph	matrix-element composite direction unwritten	NO_HIT	"{""audit/b775-braver-questions"":0,""claude/new-session-qor5up"":0,""claude/outside-bench"":0,""codex/seat-r001"":0,""main"":0,""paper/structure-genesis-first"":0}"		no paper treats matrix-element moments at any mixed composite N, and none works the tower direction p fixed, k→∞ ... believed unwritten.
B446_thermo_d1_tower_moments	main	cross-reference note in B445's FINDINGS.md, directly relevant to this arc's own float64 pipeline	double-precision cautionary collapses recorded	LEAD	"{""audit/b775-braver-questions"":2,""claude/new-session-qor5up"":2,""claude/outside-bench"":2,""codex/seat-r001"":2,""main"":2,""paper/structure-genesis-first"":2}"	frontier/B445_e6_h1_control/FINDINGS.md | +1 catch-all	Double-precision (numpy) gives the wrong answer here — the high blocks' rank collapses ... Recorded as a cautionary control
B447_thermo_d2_mscan	main	FINDINGS.md	exceptionality estimator support	LEAD	"{""audit/b775-braver-questions"":1,""claude/new-session-qor5up"":1,""claude/outside-bench"":1,""codex/seat-r001"":1,""main"":1,""paper/structure-genesis-first"":1}"	docs/views/VERDICT_LEDGER.md	the box estimator cannot support an exceptionality claim
B447_thermo_d2_mscan	main	FINDINGS.md	exceptionality achievable resolution survives	LEAD	"{""audit/b775-braver-questions"":1,""claude/new-session-qor5up"":1,""claude/outside-bench"":2,""codex/seat-r001"":1,""main"":2,""paper/structure-genesis-first"":2}"	frontier/B738_pathfinder_compiler/kill_graph.json | docs/views/VERDICT_LEDGER.md	No golden D₀ exceptionality survives at achievable resolution.
B447_thermo_d2_mscan	main	FINDINGS.md	band-edge follow-up m-scan converged	LEAD	"{""audit/b775-braver-questions"":2,""claude/new-session-qor5up"":2,""claude/outside-bench"":2,""codex/seat-r001"":2,""main"":2,""paper/structure-genesis-first"":2}"	frontier/B770_closure_census/census.json | speculations/concept_atlas/CARDS.md	a converged m-scan of D₀ needs an adaptive recursive band-edge tracker — named follow-up, not built here
B448_heartbeat_adjudication	main	FINDINGS.md	hyperbolic-end dynamically appears period	LEAD	"{""audit/b775-braver-questions"":1,""claude/new-session-qor5up"":1,""claude/outside-bench"":1,""codex/seat-r001"":1,""main"":1,""paper/structure-genesis-first"":1}"	docs/HINT_LEDGER.md	√5 appears at NO period ≤ 7 — the golden field is dynamically absent from the hyperbolic-end orbit tower
B448_heartbeat_adjudication	main	FINDINGS.md	low-period fields	NO_HIT	"{""audit/b775-braver-questions"":0,""claude/new-session-qor5up"":0,""claude/outside-bench"":0,""codex/seat-r001"":0,""main"":0,""paper/structure-genesis-first"":0}"		No new low-period fields; no H1.
B448_heartbeat_adjudication	main	FINDINGS.md, describing silver's double-beat		UNSWEEPABLE			No ℚ(√−7).
B449_forcing_boundary	main	FINDINGS.md item 1	fibered	UNSWEEPABLE			5₂ is not fibered.
B449_forcing_boundary	main	FINDINGS.md item 1	fibration monodromy dynamics formula	LEAD	"{""audit/b775-braver-questions"":3,""claude/new-session-qor5up"":3,""claude/outside-bench"":3,""codex/seat-r001"":3,""main"":3,""paper/structure-genesis-first"":3}"	papers/VALIDATION_LEDGER.md | +2 catch-all	No fibration ⇒ no monodromy ⇒ no dynamics end ⇒ the formula's second factor names *nothing* for 5₂.
B449_forcing_boundary	main	FINDINGS.md item 1	non-sequitur prediction failed	LEAD	"{""audit/b775-braver-questions"":3,""claude/new-session-qor5up"":8,""claude/outside-bench"":2,""codex/seat-r001"":2,""main"":2,""paper/structure-genesis-first"":2}"	docs/OPEN_LEADS.md | frontier/B775_phase2_wave1/wave4_results.json | docs/LAW_MAP.md | docs/views/VERDICT_LEDGER.md | frontier/B1048_the_seam_cluster_closed/FINDINGS.md | frontier/B1048_the_seam_cluster_closed/arc_verdict.json | frontier/B1048_the_seam_cluster_closed/results.json | frontier/B1048_the_seam_cluster_closed/verify.py | +1 catch-all	"""Level 161"" is not a failed prediction; it is a non-sequitur."
B451_thermo_d4_resonances	main	FINDINGS.md status line	subleading stabilize spectrum session	LEAD	"{""audit/b775-braver-questions"":5,""claude/new-session-qor5up"":4,""claude/outside-bench"":5,""codex/seat-r001"":5,""main"":5,""paper/structure-genesis-first"":4}"	docs/OPEN_LEADS.md | docs/views/CLOSED_DOORS.md | frontier/B738_pathfinder_compiler/kill_graph.json | scripts/atlas/atlas_data.json | docs/views/THE_SPINE.md | frontier/B796_coupling_campaign/harvest/lit_value_generation_mechanisms.md	The subleading spectrum did not stabilize within the session budget
B451_thermo_d4_resonances	main	FINDINGS.md Addendum	whitelist precision suggests recorded	LEAD	"{""audit/b775-braver-questions"":2,""claude/new-session-qor5up"":2,""claude/outside-bench"":4,""codex/seat-r001"":2,""main"":3,""paper/structure-genesis-first"":2}"	docs/views/VERDICT_LEDGER.md | +3 catch-all	no whitelist form suggests itself at this precision — recorded, not scanned
B453_ethogram_e1_reproduction	main	FINDINGS.md E1b	subgroup exactly proper child	LEAD	"{""audit/b775-braver-questions"":19,""claude/new-session-qor5up"":16,""claude/outside-bench"":25,""codex/seat-r001"":21,""main"":24,""paper/structure-genesis-first"":19}"	docs/CAMPAIGN_STATUS.md | docs/LAW_MAP.md | docs/OPEN_LEADS.md | docs/SEAL_LEDGER.md | docs/THEOREM_LEDGER.md | docs/THE_END_TO_END_CHAIN.md | docs/views/VERDICT_LEDGER.md | frontier/B738_pathfinder_compiler/kill_graph.json | +8 catch-all	The child's π₁ has exactly ONE proper subgroup of index ≤ 6
B453_ethogram_e1_reproduction	main	covers_log.txt	undecided-at-degree-6 positive-b1 degrees cover	NO_HIT	"{""audit/b775-braver-questions"":0,""claude/new-session-qor5up"":0,""claude/outside-bench"":0,""codex/seat-r001"":0,""main"":0,""paper/structure-genesis-first"":0}"		no positive-b1 cover found at degrees ≤ 6 (UNDECIDED-AT-DEGREE-6)
B453_ethogram_e1_reproduction	main	FINDINGS.md E1-SHARPENING	parent-unique assigned carries parent	NO_HIT	"{""audit/b775-braver-questions"":0,""claude/new-session-qor5up"":0,""claude/outside-bench"":0,""codex/seat-r001"":0,""main"":0,""paper/structure-genesis-first"":0}"		the child not only carries no parent-unique marks, it cannot even be assigned a parent
B454_ethogram_e2_closure	main	FINDINGS.md	arithmetic channel leave birth	LEAD	"{""audit/b775-braver-questions"":20,""claude/new-session-qor5up"":18,""claude/outside-bench"":23,""codex/seat-r001"":21,""main"":23,""paper/structure-genesis-first"":19}"	docs/ERROR_LEDGER.md | docs/OPEN_LEADS.md | docs/SEAL_LEDGER.md | docs/atlas/RESEARCH_TREE.md | docs/views/VERDICT_LEDGER.md | frontier/B457_ethogram_ez_verdict/FINDINGS.md | frontier/B736_ABC_campaign/p1_consolidation.md | frontier/B738_pathfinder_compiler/kill_graph.json | +3 catch-all	the word channel cannot leave its birth arithmetic
B454_ethogram_e2_closure	main	FINDINGS.md status line	class-generic reason	LEAD	"{""audit/b775-braver-questions"":6,""claude/new-session-qor5up"":6,""claude/outside-bench"":9,""codex/seat-r001"":7,""main"":9,""paper/structure-genesis-first"":6}"	docs/OPEN_LEADS.md | docs/views/VERDICT_LEDGER.md | frontier/B457_ethogram_ez_verdict/FINDINGS.md | frontier/B462_relation_r3_double/FINDINGS.md | frontier/B738_pathfinder_compiler/kill_graph.json | speculations/concept_atlas/CARDS.md | docs/THEOREM_REGISTRY.md | frontier/B1211_declaration_gap/deep_sweep.json	the reason is class-generic
B455_ethogram_e3_response	main	FINDINGS.md item 3	float64 representation continuation runs	LEAD	"{""audit/b775-braver-questions"":4,""claude/new-session-qor5up"":4,""claude/outside-bench"":4,""codex/seat-r001"":4,""main"":4,""paper/structure-genesis-first"":4}"	docs/OPEN_LEADS.md | docs/views/VERDICT_LEDGER.md | +2 catch-all	No float64 representation runs this continuation
B455_ethogram_e3_response	main	FINDINGS.md homeostasis section	conservative transverse restoring attractor	LEAD	"{""audit/b775-braver-questions"":5,""claude/new-session-qor5up"":3,""claude/outside-bench"":5,""codex/seat-r001"":5,""main"":5,""paper/structure-genesis-first"":5}"	frontier/B738_pathfinder_compiler/kill_graph.json | speculations/S055_ethogram/DICTIONARY.md | docs/views/VERDICT_LEDGER.md | +2 catch-all	No restoring response exists (conservative dynamics, no transverse attractor)
B455_ethogram_e3_response	main	FINDINGS.md homeostasis section	homeostasis dissipation organism because	LEAD	"{""audit/b775-braver-questions"":1,""claude/new-session-qor5up"":1,""claude/outside-bench"":1,""codex/seat-r001"":1,""main"":1,""paper/structure-genesis-first"":1}"	frontier/B457_ethogram_ez_verdict/FINDINGS.md	the organism has no homeostasis because it has no dissipation
B456_ethogram_e4_catalog	main	FINDINGS.md	language anywhere	GENERIC	"{""audit/b775-braver-questions"":83,""claude/new-session-qor5up"":74,""claude/outside-bench"":111,""codex/seat-r001"":92,""main"":104,""paper/structure-genesis-first"":79}"	docs/CAMPAIGN_STATUS.md | docs/HINT_LEDGER.md | docs/MASTERPLAN.md | docs/OPEN_LEADS.md | docs/OPEN_PROBLEMS.md | docs/SEAL_LEDGER.md | docs/dossiers/NOVELTY_MAP.md | docs/views/VERDICT_LEDGER.md | +16 catch-all	No physics language anywhere.
B456_ethogram_e4_catalog	main	kashaev_signatures.json note field	in-session small-n divisibility phenomenon	DOC_ECHO	"{""audit/b775-braver-questions"":1,""claude/new-session-qor5up"":1,""claude/outside-bench"":1,""codex/seat-r001"":1,""main"":2,""paper/structure-genesis-first"":1}"	 | +2 catch-all	small-N integers {1,5,13,27,89} at N in {1,2,3,4,6} are a small-N phenomenon (NOT a 5-divisibility law - corrected in-session)
B457_ethogram_ez_verdict	main	FINDINGS.md EZ-2 line	correspondence observable registry frozen	LEAD	"{""audit/b775-braver-questions"":13,""claude/new-session-qor5up"":11,""claude/outside-bench"":14,""codex/seat-r001"":15,""main"":15,""paper/structure-genesis-first"":14}"	docs/CAMPAIGN_STATUS.md | docs/OPEN_LEADS.md | docs/views/VERDICT_LEDGER.md | frontier/B452_ethogram_dictionary/PREREGISTRATION.md | frontier/B738_pathfinder_compiler/kill_graph.json | frontier/B770_closure_census/census.json | frontier/B921_branch_harvest/harvested/frontier/B796_coupling_campaign/context_sweep/sweep_leads_doors.md | docs/SEAL_LEDGER.md | +5 catch-all	No correspondence with the frozen 20-observable registry beyond chance
B457_ethogram_ez_verdict	main	FINDINGS.md structural predicates line	definite	UNSWEEPABLE			no {8,3,1}, no definite CP
B457_ethogram_ez_verdict	main	FINDINGS.md status line		UNSWEEPABLE			NO H1.
