arc	source	where	terms	status	hits_per_head	top_paths	quote
B1037_band_B100_dispositioned	claude/new-session-qor5up	FINDINGS.md section 4, quoting B106's own headline (declined-process)	mechanism	UNSWEEPABLE			no mechanism is claimed
B1038_tower_restored	claude/new-session-qor5up	FINDINGS.md closing paragraph	module-level b122 character general	LEAD	"{""audit/b775-braver-questions"":10,""claude/new-session-qor5up"":12,""claude/outside-bench"":13,""codex/seat-r001"":11,""main"":14,""paper/structure-genesis-first"":10}"	docs/views/VERDICT_LEDGER.md | frontier/B122_W_symmetric_powers/FINDINGS.md | frontier/B122_W_symmetric_powers/probe.py | frontier/README.md | frontier/REPO_STATE.md | knowledge/K008_tower_determined_by_seed.md | papers/VALIDATION_LEDGER.md | docs/views/THE_SPINE.md | +3 catch-all	the module-level proof for general n -- B122 calls it 'the prize.' Character level holds to n = 11; module level is proved only at n = 3,4.
B1038_tower_restored	claude/new-session-qor5up	FINDINGS.md section 3	b103 rebuilt tower	LEAD	"{""audit/b775-braver-questions"":16,""claude/new-session-qor5up"":13,""claude/outside-bench"":28,""codex/seat-r001"":22,""main"":26,""paper/structure-genesis-first"":17}"	docs/CAMPAIGN_STATUS.md | docs/OPEN_LEADS.md | docs/views/CLOSED_DOORS.md | docs/views/VERDICT_LEDGER.md | frontier/B738_pathfinder_compiler/kill_graph.json | frontier/B770_closure_census/census.json | docs/MASTERPLAN.md | docs/PRACTICES.md | +8 catch-all	B103's tower construction is not rebuilt.
B1038_tower_restored	claude/new-session-qor5up	FINDINGS.md section 3	fixed-root re-run b118 bourbaki	LEAD	"{""audit/b775-braver-questions"":1,""claude/new-session-qor5up"":5,""claude/outside-bench"":1,""codex/seat-r001"":1,""main"":1,""paper/structure-genesis-first"":1}"	frontier/B738_pathfinder_compiler/kill_graph.json | docs/LAW_MAP.md | docs/consolidation/DEBT_LEDGER.md | docs/views/VERDICT_LEDGER.md | +1 catch-all	B118's Bourbaki fixed-root computation is not re-run.
B1039_v_valued_residual	main	FINDINGS.md, SEAM-LOCALITY section	classify support forbid passed	LEAD	"{""audit/b775-braver-questions"":11,""claude/new-session-qor5up"":10,""claude/outside-bench"":16,""codex/seat-r001"":14,""main"":15,""paper/structure-genesis-first"":12}"	docs/LAW_MAP.md | docs/OPEN_LEADS.md | docs/views/VERDICT_LEDGER.md | frontier/B738_pathfinder_compiler/kill_graph.json | frontier/B770_closure_census/census.json | frontier/B771_phase1_wave1/wave5_results.json | papers/VALIDATION_LEDGER.md | docs/SEAL_LEDGER.md | +5 catch-all	with empty support there is nothing to classify. The forbid is neither passed nor failed
B1039_v_valued_residual	main	ADDENDUM_2026-08-12.md	seam-locality attributable structurally unreachable	NO_HIT	"{""audit/b775-braver-questions"":0,""claude/new-session-qor5up"":0,""claude/outside-bench"":0,""codex/seat-r001"":0,""main"":0,""paper/structure-genesis-first"":0}"		New structure not attributable to the seam is therefore not a possible outcome of an MV computation -- the forbidden result of the seam-locality forbid... was structurally unreachable by this arc's machinery
B1039_phi_fixed_and_metallic_exponent	claude/new-session-qor5up	FINDINGS.md section 1, DEFECT 2	universally involutions quantified involution	LEAD	"{""audit/b775-braver-questions"":6,""claude/new-session-qor5up"":9,""claude/outside-bench"":8,""codex/seat-r001"":9,""main"":7,""paper/structure-genesis-first"":6}"	docs/OPEN_LEADS.md | docs/views/VERDICT_LEDGER.md | frontier/B738_pathfinder_compiler/kill_graph.json | papers/VALIDATION_LEDGER.md | docs/views/THE_SPINE.md | docs/RETRACTIONS.md | docs/consolidation/DEBT_LEDGER.md | tests/test_b1039_phi_fixed_and_metallic_exponent.py | +5 catch-all	The universally quantified statement -- two involutions whose product is an involution commute -- is verified here for the first time
B1039_phi_fixed_and_metallic_exponent	claude/new-session-qor5up	FINDINGS.md section 3	induction general written carried	LEAD	"{""audit/b775-braver-questions"":10,""claude/new-session-qor5up"":11,""claude/outside-bench"":13,""codex/seat-r001"":11,""main"":12,""paper/structure-genesis-first"":10}"	docs/CAMPAIGN_STATUS.md | docs/HINT_LEDGER.md | docs/OPEN_LEADS.md | docs/SEAL_LEDGER.md | frontier/B771_phase1_wave1/wave1_results.json | frontier/B775_phase2_wave1/wave5_results.json | frontier/B775_phase2_wave1/wave6_results.json | papers/P4_markov_stage/PANEL_v1_findings.md | +3 catch-all	the induction for general m was never written down, and that gap is carried, not closed
B1039_phi_fixed_and_metallic_exponent	claude/new-session-qor5up	FINDINGS.md section 5	b157 finishes groebner premise	NO_HIT	"{""audit/b775-braver-questions"":0,""claude/new-session-qor5up"":0,""claude/outside-bench"":0,""codex/seat-r001"":0,""main"":0,""paper/structure-genesis-first"":0}"		no CAS here finishes that Groebner computation, which was B157's premise in the first place
B1039_phi_fixed_and_metallic_exponent	claude/new-session-qor5up	FINDINGS.md section 5, correction note on B141 Item 4 / B564	corpus-wide b-number restored question	LEAD	"{""audit/b775-braver-questions"":1,""claude/new-session-qor5up"":7,""claude/outside-bench"":2,""codex/seat-r001"":1,""main"":2,""paper/structure-genesis-first"":1}"	docs/LAW_MAP.md | docs/OPEN_LEADS.md | docs/views/VERDICT_LEDGER.md | frontier/B1039_phi_fixed_and_metallic_exponent/FINDINGS.md | frontier/B1043_the_band_is_the_wrong_unit/verify.py | +3 catch-all	This arc restored the cluster's own open question as open when it had been settled four hundred arcs later. ... Only a corpus-wide search on the TOPIC finds it -- which is exactly what banding by B-number prevents.
B1040_fl4_observer_battery	main	FINDINGS.md, Scope and honesty section	omega-consumption object-level m004 b735	NO_HIT	"{""audit/b775-braver-questions"":0,""claude/new-session-qor5up"":0,""claude/outside-bench"":0,""codex/seat-r001"":0,""main"":0,""paper/structure-genesis-first"":0}"		The object-level observer (m004's own Bianchi KMS/Galois + cusp) is UNBUILT (B735's sentence) and NOT covered by this ledger -- if it is ever built, it enters the battery as a new arc, and it is the one place an omega-consumption could still appear.
B1040_fl4_observer_battery	main	FINDINGS.md, Scope and honesty section	consumption undecidable decided marked	LEAD	"{""audit/b775-braver-questions"":2,""claude/new-session-qor5up"":0,""claude/outside-bench"":7,""codex/seat-r001"":5,""main"":5,""paper/structure-genesis-first"":2}"	docs/SEAL_LEDGER.md | docs/views/VERDICT_LEDGER.md | frontier/B738_pathfinder_compiler/kill_graph.json | +4 catch-all	A step whose consumption could not be decided from the banked text alone would have been marked UNDECIDABLE -- none needed the mark
B1040_isomonodromy_restored	claude/new-session-qor5up	FINDINGS.md section 2(i)	homological anywhere lattice cluster	LEAD	"{""audit/b775-braver-questions"":8,""claude/new-session-qor5up"":9,""claude/outside-bench"":10,""codex/seat-r001"":8,""main"":9,""paper/structure-genesis-first"":9}"	docs/CAMPAIGN_STATUS.md | docs/views/VERDICT_LEDGER.md | frontier/B742_negatives_hunt_p1/stageA/journals/run2_wf4ac2653a_journal.jsonl | frontier/B774_chord_pass/stageA_scan.json | docs/OPEN_LEADS.md | frontier/B1068_descent_inventory/w2_full_results.json | frontier/B796_coupling_campaign/harvest/lit_3d3d_correspondence.md | docs/LAW_MAP.md | +4 catch-all	No Picard lattice and no homological action is computed anywhere in the cluster.
B1040_isomonodromy_restored	claude/new-session-qor5up	FINDINGS.md section 2(ii)	repo-wide returns exactly search	LEAD	"{""audit/b775-braver-questions"":10,""claude/new-session-qor5up"":12,""claude/outside-bench"":22,""codex/seat-r001"":17,""main"":22,""paper/structure-genesis-first"":10}"	docs/OPEN_LEADS.md | docs/PRICED_DOORS.md | docs/views/VERDICT_LEDGER.md | frontier/B770_closure_census/census.json | frontier/B879_selection_cochain/packet/w0d_quantum_scout/SCOUT.md | frontier/B887_gate_audit/audit_reports.json | docs/CAMPAIGN_STATUS.md | frontier/B1068_descent_inventory/w2_full_results.json | +4 catch-all	A repo-wide search for `6g−6` returns exactly two hits, neither a computation.
B1040_isomonodromy_restored	claude/new-session-qor5up	FINDINGS.md section 2(iii)	b169 literally checks assert	LEAD	"{""audit/b775-braver-questions"":7,""claude/new-session-qor5up"":12,""claude/outside-bench"":8,""codex/seat-r001"":8,""main"":8,""paper/structure-genesis-first"":7}"	docs/OPEN_LEADS.md | docs/views/VERDICT_LEDGER.md | frontier/B738_pathfinder_compiler/kill_graph.json | frontier/B775_phase2_wave1/wave4_results.json | papers/VALIDATION_LEDGER.md | docs/views/THE_SPINE.md | docs/CAMPAIGN_STATUS.md | docs/LAW_MAP.md | +2 catch-all	B169's two P3 checks pass `True` literally -- they assert, they do not compute.
B1040_isomonodromy_restored	claude/new-session-qor5up	FINDINGS.md section 2(ii), quoting docs/OPEN_LEADS.md:209	classical-known dim-count discovery surfaces	LEAD	"{""audit/b775-braver-questions"":1,""claude/new-session-qor5up"":6,""claude/outside-bench"":1,""codex/seat-r001"":1,""main"":1,""paper/structure-genesis-first"":1}"	docs/OPEN_LEADS.md | docs/views/VERDICT_LEDGER.md | frontier/B1040_isomonodromy_restored/FINDINGS.md | frontier/B1040_isomonodromy_restored/arc_verdict.json | frontier/B1040_isomonodromy_restored/results.json | frontier/B1040_isomonodromy_restored/verify.py	the 'exactly two cubic surfaces' dim-count is classical-known ... not a discovery
B1041_theta_leg	main	PREREGISTRATION.md, banked substrate section	compatibility elimination exhibition entire	LEAD	"{""audit/b775-braver-questions"":5,""claude/new-session-qor5up"":0,""claude/outside-bench"":5,""codex/seat-r001"":5,""main"":5,""paper/structure-genesis-first"":5}"	docs/LAW_MAP.md | docs/OPEN_LEADS.md | docs/THE_FRAMEWORK.md | docs/views/VERDICT_LEDGER.md | +1 catch-all	Elimination is not exhibition... this cell's entire content is the COMPATIBILITY check.
B1041_the_red_locks	worktree claude_new-session-qor5up (frontier/B1041_the_red_locks)	FINDINGS.md:90	committed refuses paths clone	LEAD	"{""audit/b775-braver-questions"":4,""claude/new-session-qor5up"":6,""claude/outside-bench"":4,""codex/seat-r001"":4,""main"":5,""paper/structure-genesis-first"":4}"	docs/ERROR_LEDGER.md | docs/views/VERDICT_LEDGER.md | docs/LAW_MAP.md | tests/test_b646_wave2.py | frontier/B738_pathfinder_compiler/kill_graph.json | +2 catch-all	git refuses those paths, so they were never committed and no clone has ever had them.
B1041_the_red_locks	worktree claude_new-session-qor5up (frontier/B1041_the_red_locks)	FINDINGS.md:73	conclusion narrower repaired carries	LEAD	"{""audit/b775-braver-questions"":11,""claude/new-session-qor5up"":7,""claude/outside-bench"":18,""codex/seat-r001"":14,""main"":15,""paper/structure-genesis-first"":14}"	docs/CAMPAIGN_STATUS.md | docs/views/VERDICT_LEDGER.md | frontier/B770_closure_census/census.json | frontier/B775_phase2_wave1/wave6_results.json | docs/MASTERPLAN.md | docs/OPEN_PROBLEMS.md | docs/PRICED_DOORS.md | docs/RELAY_LEDGER.md | +11 catch-all	The narrower true claim is that it was never repaired: the script still prints it, the banked d3_results.txt still carries the wrong conclusion
B1042_trit_morphism	main tree, frontier/B1042_trit_morphism	FINDINGS.md:7 (header)	mckay-order-3 field-theory belt-level b487	NO_HIT	"{""audit/b775-braver-questions"":0,""claude/new-session-qor5up"":0,""claude/outside-bench"":0,""codex/seat-r001"":0,""main"":0,""paper/structure-genesis-first"":0}"		"the McKay-order-3 check was unrun; B487's ""tensoring"" is DGG field-theory tensoring, different object; B946's ""orbit labels"" are belt-level, different structure — recorded, excluded"
B1042_the_error_ledger	worktree claude_new-session-qor5up (frontier/B1042_the_error_ledger)	FINDINGS.md:12 (section header)	register stopped says	LEAD	"{""audit/b775-braver-questions"":23,""claude/new-session-qor5up"":22,""claude/outside-bench"":24,""codex/seat-r001"":20,""main"":20,""paper/structure-genesis-first"":20}"	docs/OPEN_LEADS.md | docs/PRACTICES.md | frontier/B738_pathfinder_compiler/kill_graph.json | frontier/B770_closure_census/census.json | frontier/B921_branch_harvest/harvested/frontier/B796_coupling_campaign/context_sweep/sweep_banked_arcs_B793_B797.md | frontier/B921_branch_harvest/harvested/frontier/B796_coupling_campaign/context_sweep/sweep_changelog_history.md | frontier/B926_crossing_anatomy/ANATOMY.md | frontier/B926_crossing_anatomy/FINDINGS.md | +9 catch-all	THE REGISTER STOPPED, AND NOTHING SAYS SO
B1042_the_error_ledger	worktree claude_new-session-qor5up (frontier/B1042_the_error_ledger)	FINDINGS.md:26	registers currency outside entire	LEAD	"{""audit/b775-braver-questions"":7,""claude/new-session-qor5up"":7,""claude/outside-bench"":12,""codex/seat-r001"":10,""main"":10,""paper/structure-genesis-first"":7}"	docs/OPEN_LEADS.md | docs/views/VERDICT_LEDGER.md | docs/CAMPAIGN_STATUS.md | docs/LAW_MAP.md | docs/THE_LADDER.md | frontier/B1082_order_comparison/b1082_results.json | CC3_PROPOSAL_2026-08-13_THE_FRONT_DOOR.md | +7 catch-all	the three registers whose entire job is currency are all outside it
B1043_triple_assembly	main tree, frontier/B1043_triple_assembly	FINDINGS.md:31-32	three-slot presentation assembly complex	LEAD	"{""audit/b775-braver-questions"":4,""claude/new-session-qor5up"":4,""claude/outside-bench"":8,""codex/seat-r001"":6,""main"":8,""paper/structure-genesis-first"":4}"	docs/views/VERDICT_LEDGER.md | docs/CAMPAIGN_STATUS.md | docs/SEAL_LEDGER.md | docs/LAW_MAP.md | docs/THE_LADDER.md | docs/views/THE_SPINE.md | papers/P3_THE_PAPER/CLAIM_CANDIDATES.md | +2 catch-all	the assembly's presentation complex has no 3-cells — the genuine three-slot cup H¹×H¹×H¹ → H³ has NO TARGET here
B1043_the_band_is_the_wrong_unit	worktree claude_new-session-qor5up (frontier/B1043_the_band_is_the_wrong_unit)	FINDINGS.md:27	b141 b142 b564 verified	LEAD	"{""audit/b775-braver-questions"":8,""claude/new-session-qor5up"":19,""claude/outside-bench"":12,""codex/seat-r001"":9,""main"":12,""paper/structure-genesis-first"":8}"	docs/views/CLOSED_DOORS.md | docs/views/VERDICT_LEDGER.md | frontier/B562_probation_campaign/RESULTS.md | frontier/B564_sl3_phi_fixed_reducible/FINDINGS.md | frontier/B738_pathfinder_compiler/kill_graph.json | frontier/B775_phase2_wave1/cells/P2W3-S031A/compute.py | scripts/atlas/atlas_data.json | docs/OPEN_LEADS.md | +1 catch-all	B141 and B142 carry no forward pointer to B564 — verified
